57:A Lưới
33:An Biên
27:An Dương
21:An Khê
27:An Lão
9:An Lão
33:An Minh
9:An Nhơn
1:An Phú
41:Anh Sơn
21:Ayun Pa
30:Ân Thi
4:Ba Bể
49:Ba Chẽ
24:Ba Đình
46:Ba Đồn
48:Ba Tơ
7:Ba Tri
24:Ba Vì
2:Bà Rịa
56:Bá Thước
43:Bác Ái
3:Bạc Liêu
27:Bạch Long Vĩ
4:Bạch Thông
13:Bảo Lạc
13:Bảo Lâm
38:Bảo Lâm
38:Bảo Lộc
36:Bảo Thắng
36:Bảo Yên
36:Bát Xát
8:Bàu Bàng
11:Bắc Bình
5:Bắc Giang
36:Bắc Hà
4:Bắc Kạn
22:Bắc Mê
6:Bắc Ninh
22:Bắc Quang
37:Bắc Sơn
8:Bắc Tân Uyên
47:Bắc Trà My
24:Bắc Từ Liêm
52:Bắc Yên
8:Bến Cát
53:Bến Cầu
39:Bến Lức
7:Bến Tre
18:Biên Hòa
56:Bỉm Sơn
31:Bình Chánh
7:Bình Đại
37:Bình Gia
26:Bình Giang
49:Bình Liêu
10:Bình Long
23:Bình Lục
61:Bình Minh
48:Bình Sơn
31:Bình Tân
61:Bình Tân
31:Bình Thạnh
14:Bình Thủy
62:Bình Xuyên
46:Bố Trạch
10:Bù Đăng
10:Bù Đốp
10:Bù Gia Mập
16:Buôn Đôn
16:Buôn Hồ
16:Buôn Ma Thuột
12:Cà Mau
58:Cai Lậy
58:Cai Lậy
58:Cái Bè
12:Cái Nước
14:Cái Răng
32:Cam Lâm
50:Cam Lộ
32:Cam Ranh
25:Can Lộc
59:Càng Long
13:Cao Bằng
19:Cao Lãnh
19:Cao Lãnh
37:Cao Lộc
28:Cao Phong
27:Cát Hải
38:Cát Tiên
26:Cẩm Giàng
44:Cẩm Khê
15:Cẩm Lệ
18:Cẩm Mỹ
49:Cẩm Phả
56:Cẩm Thủy
25:Cẩm Xuyên
39:Cần Đước
31:Cần Giờ
39:Cần Giuộc
24:Cầu Giấy
59:Cầu Kè
59:Cầu Ngang
1:Châu Đốc
2:Châu Đức
1:Châu Phú
1:Châu Thành
7:Châu Thành
19:Châu Thành
29:Châu Thành
33:Châu Thành
39:Châu Thành
51:Châu Thành
53:Châu Thành
58:Châu Thành
59:Châu Thành
29:Châu Thành A
37:Chi Lăng
26:Chí Linh
60:Chiêm Hóa
